financial_year,insurer,uin,product_name,date_of_approval,document_url,document_filename,local_file_path,r2_url,type_of_product,archive_status,scraped_at
2021-2022,HDFC ERGO General Insurance Company Ltd.,HDFHLIP22193V072122,Optima Restore,28-12-2021,https://irdai.gov.in/documents/37343/931203/Optima+Restore.pdf/65c079a4-f778-55c7-8056-0726c695130a?version=1.1&t=1668753919263&download=true,Optima Restore.pdf,,https://insurance-data.r2.dev/health/2021-2022/HDFC-ERGO-General-Insurance-Company-Ltd./HDFHLIP22193V072122_Optima-Restore.pdf,health,Non-Archived,2025-12-01T04:39:03.832035
2021-2022,United India Insurance Co. Ltd.,UIIHLIP22180V042122,Individual Health Insurance Policy - Platinum / Gold / Senior Citizen,12-11-2021,https://irdai.gov.in/documents/37343/931203/Family+Medicare+Policy.pdf/891ed605-d97f-f8a7-c535-11249898eb05?version=1.1&t=1668754871496&download=true,Family Medicare Policy.pdf,,https://insurance-data.r2.dev/health/2021-2022/United-India-Insurance-Co.-Ltd./UIIHLIP22180V042122_Individual-Health-Insurance-Policy-Platinum-Gold-Senior-Citizen.pdf,Health,Non-Archived,2025-12-01T04:39:03.833142
2021-2022,ICICI Lombard GI Co. Ltd.,ICIHLIP22096V062122,ICICI LOMBARD COMPLETE HEALTH INSURANCE,02-07-2021,https://irdai.gov.in/documents/37343/931203/ICIHLIP22096V062122_HEALTH2106.pdf/6c9576c3-390b-6248-02c8-9948deaadafa?version=1.1&t=1668843201917&download=true,ICIHLIP22096V062122_HEALTH2106.pdf,,https://insurance-data.r2.dev/health/2021-2022/ICICI-Lombard-GI-Co.-Ltd./ICIHLIP22096V062122_ICICI-LOMBARD-COMPLETE-HEALTH-INSURANCE.pdf,Revision,Non-Archived,2025-12-01T04:39:03.833375
2021-2022,Navi General Insurance Ltd.,NAVHLIP22133V012122,Navi Health,28-07-2021,https://irdai.gov.in/documents/37343/931203/NAVHLIP22133V012122_HEALTH2130.pdf/159064ee-8a78-190f-c16f-b1475dda7c8b?version=1.1&t=1668766291039&download=true,NAVHLIP22133V012122_HEALTH2130.pdf,,https://insurance-data.r2.dev/health/2021-2022/Navi-General-Insurance-Ltd./NAVHLIP22133V012122_Navi-Health.pdf,Retail,Non-Archived,2025-12-01T04:39:03.836008
2021-2022,Niva Bupa Health Insurance co ltd,NBHHLGP22157V032122,Health Plus,03-09-2021,https://irdai.gov.in/documents/37343/931203/NBHHLGP22157V032122_HEALTH2133.pdf/d42b6618-5599-a23f-d15b-fba3b8f248cd?version=1.1&t=1668766547385&download=true,NBHHLGP22157V032122_HEALTH2133.pdf,,https://insurance-data.r2.dev/health/2021-2022/Niva-Bupa-Health-Insurance-co-ltd/NBHHLGP22157V032122_Health-Plus.pdf,Revision,Non-Archived,2025-12-01T04:39:03.836346
2021-2022,Niva Bupa Health Insurance co ltd,NBHHLIP22151V012122,"Arogya Sanjeevani, Niva Bupa Health Insurance Co. Ltd.",24-08-2021,https://irdai.gov.in/documents/37343/931203/NBHHLIP22151V012122_HEALTH2134.pdf/ddc465e4-2012-c8bf-c582-7463e0c75c74?version=1.1&t=1668766621195&download=true,NBHHLIP22151V012122_HEALTH2134.pdf,,"https://insurance-data.r2.dev/health/2021-2022/Niva-Bupa-Health-Insurance-co-ltd/NBHHLIP22151V012122_Arogya-Sanjeevani,-Niva-Bupa-Health-Insurance-Co.-Ltd..pdf",Revision,Non-Archived,2025-12-01T04:39:03.836464
2021-2022,Niva Bupa Health Insurance co ltd,NBHHLIP22152V012122,"Corona Kavach Policy, Niva Bupa Health Insurance Co. Ltd.",24-08-2021,https://irdai.gov.in/documents/37343/931203/NBHHLIP22152V012122_HEALTH2135.pdf/3ba2ec6e-e679-02cb-c1c1-07a1f121c163?version=1.1&t=1668766723171&download=true,NBHHLIP22152V012122_HEALTH2135.pdf,,"https://insurance-data.r2.dev/health/2021-2022/Niva-Bupa-Health-Insurance-co-ltd/NBHHLIP22152V012122_Corona-Kavach-Policy,-Niva-Bupa-Health-Insurance-Co.-Ltd..pdf",Revision,Non-Archived,2025-12-01T04:39:03.836574
2021-2022,Edelweiss General Insurance Co. Ltd.,EDLHLIP21012V012122,Edelweiss HealthPlus Policy,21-04-2021,https://irdai.gov.in/documents/37343/931203/EDLHLIP21012V012122_HEALTH2008.pdf/a1dc22a0-a079-26ea-43a6-8b666ced26a9?version=1.1&t=1668844676012&download=true,EDLHLIP21012V012122_HEALTH2008.pdf,,https://insurance-data.r2.dev/health/2021-2022/Edelweiss-General-Insurance-Co.-Ltd./EDLHLIP21012V012122_Edelweiss-HealthPlus-Policy.pdf,Individual,Non-Archived,2025-12-01T04:39:06.666054
2021-2022,Navi General Insurance Ltd.,NAVHLIP22059V032122,Navi Health Seasonal Byte,18-06-2021,https://irdai.gov.in/documents/37343/931203/NAVHLIP22059V032122_HEALTH2035.pdf/db59fe2a-487e-a53d-2c9c-c8fbcf01289b?version=1.1&t=1668767515143&download=true,NAVHLIP22059V032122_HEALTH2035.pdf,,https://insurance-data.r2.dev/health/2021-2022/Navi-General-Insurance-Ltd./NAVHLIP22059V032122_Navi-Health-Seasonal-Byte.pdf,Revision,Non-Archived,2025-12-01T04:39:06.669058
2021-2022,National Insurance Co. Ltd.,NICHLIP22045V012122,BoB National Health Policy,09-06-2021,https://irdai.gov.in/documents/37343/931203/NICHLIP22045V012122_HEALTH2043.pdf/b289760a-267a-2aeb-02b6-71e1d1468e3f?version=1.1&t=1668768608587&download=true,NICHLIP22045V012122_HEALTH2043.pdf,,https://insurance-data.r2.dev/health/2021-2022/National-Insurance-Co.-Ltd./NICHLIP22045V012122_BoB-National-Health-Policy.pdf,New,Non-Archived,2025-12-01T04:39:06.669938
2021-2022,Star Health & Allied Insurance Co. Ltd.,SHAHLIP21011V052122,Family Health Optima,20-04-2021,https://irdai.gov.in/documents/37343/931203/SHAHLIP21011V052122_HEALTH2048.pdf/0908d10e-0e74-d775-1951-b1ada54d999a?version=1.1&t=1668769888118&download=true,SHAHLIP21011V052122_HEALTH2048.pdf,,https://insurance-data.r2.dev/health/2021-2022/Star-Health-&-Allied-Insurance-Co.-Ltd./SHAHLIP21011V052122_Family-Health-Optima.pdf,Revision,Non-Archived,2025-12-01T04:39:06.670503
2021-2022,Star Health & Allied Insurance Co. Ltd.,SHAHLIP22027V032122,"Arogya Sanjeevani Policy, Star Health and Allied Insurance Co Ltd.”",31-05-2021,https://irdai.gov.in/documents/37343/931203/SHAHLIP22027V032122_HEALTH2049.pdf/f4d863fa-cd41-e55d-d747-d2ff2d88d060?version=1.1&t=1668769933635&download=true,SHAHLIP22027V032122_HEALTH2049.pdf,,"https://insurance-data.r2.dev/health/2021-2022/Star-Health-&-Allied-Insurance-Co.-Ltd./SHAHLIP22027V032122_Arogya-Sanjeevani-Policy,-Star-Health-and-Allied-Insurance-Co-Ltd.”.pdf",Revision,Non-Archived,2025-12-01T04:39:06.670615
2021-2022,Star Health & Allied Insurance Co. Ltd.,SHAHLIP22030V062122,Family Health Optima Insurance Plan,31-05-2021,https://irdai.gov.in/documents/37343/931203/SHAHLIP22030V062122_HEALTH2052.pdf/1656a56f-10ec-f930-2175-146470c26773?version=1.1&t=1668770129657&download=true,SHAHLIP22030V062122_HEALTH2052.pdf,,https://insurance-data.r2.dev/health/2021-2022/Star-Health-&-Allied-Insurance-Co.-Ltd./SHAHLIP22030V062122_Family-Health-Optima-Insurance-Plan.pdf,Revision,Non-Archived,2025-12-01T04:39:06.670939
